2014-01-01,3
2014-01-02,1
2014-01-03,3
2014-01-04,1
2014-01-05,3
2014-01-06,1
2014-01-07,3
2014-01-08,1
2014-01-09,3
2014-01-10,1
2014-01-11,3
2014-01-12,1
2014-01-13,3
2014-01-14,1
2014-01-15,3
2014-01-16,1
2014-01-17,3
2014-01-18,1
2014-01-19,3
2014-01-20,1
2014-01-21,3
2014-01-22,1
2014-01-23,3
2014-01-24,1
2014-01-25,3
2014-01-26,1
2014-01-27,3
2014-01-28,1
2014-01-29,3
2014-01-30,1
2014-01-31,3
2014-02-01,1
2014-02-02,3
2014-02-03,1
2014-02-04,3
2014-02-05,1
2014-02-06,3
2014-02-07,1
2014-02-08,3
2014-02-09,1
2014-02-10,3
2014-02-11,1
2014-02-12,3
2014-02-13,1
2014-02-14,3
2014-02-15,1
2014-02-16,3
2014-02-17,1
2014-02-18,3
2014-02-19,1
2014-02-20,3
2014-02-21,1
2014-02-22,3
2014-02-23,1
2014-02-24,3
2014-02-25,1
2014-02-26,3
2014-02-27,1
2014-02-28,3
2014-03-01,1
2014-03-02,2
2014-03-03,3
2014-03-04,2
2014-03-05,3
2014-03-06,2
2014-03-07,3
2014-03-08,2
2014-03-09,3
2014-03-10,2
2014-03-11,3
2014-03-12,2
2014-03-13,3
2014-03-14,2
2014-03-15,3
2014-03-16,2
2014-03-17,3
2014-03-18,2
2014-03-19,3
2014-03-20,2
2014-03-21,3
2014-03-22,2
2014-03-23,3
2014-03-24,2
2014-03-25,3
2014-03-26,2
2014-03-27,3
2014-03-28,2
2014-03-29,3
2014-03-30,2
2014-03-31,3
2014-04-01,2
2014-04-02,3
2014-04-03,2
2014-04-04,3
2014-04-05,2
2014-04-06,3
2014-04-07,2
2014-04-08,3
2014-04-09,2
2014-04-10,3
2014-04-11,2
2014-04-12,3
2014-04-13,2
2014-04-14,3
2014-04-15,2
2014-04-16,3
2014-04-17,2
2014-04-18,3
2014-04-19,2
2014-04-20,3
2014-04-21,2
2014-04-22,3
2014-04-23,2
2014-04-24,3
2014-04-25,2
2014-04-26,3
2014-04-27,2
2014-04-28,3
2014-04-29,2
2014-04-30,3
2014-05-01,2
2014-05-02,3
2014-05-03,2
2014-05-04,3
2014-05-05,2
2014-05-06,3
2014-05-07,2
2014-05-08,3
2014-05-09,2
2014-05-10,3
2014-05-11,2
2014-05-12,3
2014-05-13,2
2014-05-14,3
2014-05-15,2
2014-05-16,3
2014-05-17,2
2014-05-18,3
2014-05-19,2
2014-05-20,3
2014-05-21,2
2014-05-22,3
2014-05-23,2
2014-05-24,3
2014-05-25,2
2014-05-26,3
2014-05-27,2
2014-05-28,3
2014-05-29,2
2014-05-30,3
2014-05-31,2
2014-06-01,3
2014-06-02,2
2014-06-03,3
2014-06-04,2
2014-06-05,3
2014-06-06,2
2014-06-07,3
2014-06-08,2
2014-06-09,3
2014-06-10,2
2014-06-11,3
2014-06-12,2
2014-06-13,3
2014-06-14,2
2014-06-15,3
2014-06-16,2
2014-06-17,3
2014-06-18,2
2014-06-19,3
2014-06-20,2
2014-06-21,3
2014-06-22,2
2014-06-23,3
2014-06-24,2
2014-06-25,3
2014-06-26,2
2014-06-27,3
2014-06-28,2
2014-06-29,3
2014-06-30,2
2014-07-01,3
2014-07-02,2
2014-07-03,3
2014-07-04,2
2014-07-05,3
2014-07-06,2
2014-07-07,3
2014-07-08,2
2014-07-09,3
2014-07-10,2
2014-07-11,3
2014-07-12,2
2014-07-13,3
2014-07-14,2
2014-07-15,3
2014-07-16,2
2014-07-17,3
2014-07-18,2
2014-07-19,3
2014-07-20,2
2014-07-21,3
2014-07-22,2
2014-07-23,3
2014-07-24,2
2014-07-25,3
2014-07-26,2
2014-07-27,3
2014-07-28,2
2014-07-29,3
2014-07-30,2
2014-07-31,3
2014-08-01,2
2014-08-02,3
2014-08-03,2
2014-08-04,3
2014-08-05,2
2014-08-06,3
2014-08-07,30
2014-08-08,26
2014-08-09,30
2014-08-10,26
2014-08-11,30
2014-08-12,26
2014-08-13,30
2014-08-14,26
2014-08-15,30
2014-08-16,26
2014-08-17,30
2014-08-18,26
